UWI,EW Offset,NS Offset,Measured Depth,TVD,subsea
100010701318w400,1783.29,1285.46,3090,1042.01,-218.01
100010701318w400,1804.82,1306.34,3120,1042.01,-218.01
100010701318w400,1826.36,1327.21,3150,1042.01,-218.01
100010701318w400,1847.9,1348.08,3180,1042.01,-218.01
100010701318w400,1869.44,1368.95,3210,1042.01,-218.01
100010701318w400,1890.98,1389.83,3240,1042.01,-218.01
100010701318w400,1912.51,1410.7,3270,1042.01,-218.01
100010701318w400,1934.05,1431.57,3300,1042.01,-218.01
100010701318w400,1955.59,1452.44,3330,1042.01,-218.01
100010701318w400,1977.13,1473.32,3360,1042.01,-218.01
100010701318w400,1998.66,1494.19,3390,1042.01,-218.01
100010701318w400,2020.2,1515.06,3420,1042.01,-218.01
100010701318w400,2041.74,1535.93,3450,1042.01,-218.01
100010701318w400,2063.28,1556.8,3480,1042.01,-218.01
100010701318w400,2084.81,1577.68,3510,1042.01,-218.01
100010701318w400,2106.35,1598.55,3540,1042.01,-218.01
100010701318w400,2127.89,1619.42,3570,1042.01,-218.01
100010701318w400,2149.43,1640.29,3600,1042.01,-218.01
100010701318w400,2170.96,1661.17,3630,1042.01,-218.01
100010701318w400,2192.5,1682.04,3660,1042.01,-218.01
100010701318w400,2214.04,1702.91,3690,1042.01,-218.01
100010701318w400,2235.58,1723.78,3720,1042.01,-218.01
100010701318w400,2257.11,1744.65,3750,1042.01,-218.01
100010701318w400,2278.65,1765.53,3780,1042.01,-218.01
100010701318w400,2300.19,1786.4,3810,1042.01,-218.01
100010701318w400,2306.21,1792.24,3818.39,1042.01,-218.01
