UWI,EW Offset,NS Offset,Measured Depth,TVD
100010701318w400,1869.44,1368.95,3210.00,1042.01
100010701318w400,1890.98,1389.83,3240.00,1042.01
100010701318w400,1912.51,1410.70,3270.00,1042.01
100010701318w400,1934.05,1431.57,3300.00,1042.01
100010701318w400,1955.59,1452.44,3330.00,1042.01
100010701318w400,1977.13,1473.32,3360.00,1042.01
100010701318w400,1998.66,1494.19,3390.00,1042.01
100010701318w400,2020.20,1515.06,3420.00,1042.01
100010701318w400,2041.74,1535.93,3450.00,1042.01
100010701318w400,2063.28,1556.80,3480.00,1042.01
100010701318w400,2084.81,1577.68,3510.00,1042.01
100010701318w400,2106.35,1598.55,3540.00,1042.01
100010701318w400,2127.89,1619.42,3570.00,1042.01
100010701318w400,2149.43,1640.29,3600.00,1042.01
100010701318w400,2170.96,1661.17,3630.00,1042.01
100010701318w400,2192.50,1682.04,3660.00,1042.01
100010701318w400,2214.04,1702.91,3690.00,1042.01
100010701318w400,2235.58,1723.78,3720.00,1042.01
100010701318w400,2257.11,1744.65,3750.00,1042.01
100010701318w400,2278.65,1765.53,3780.00,1042.01
100010701318w400,2300.19,1786.40,3810.00,1042.01
100010701318w400,2306.21,1792.24,3818.39,1042.01
